group	x	xend	y	yend
1	0.5	800000.5	0.260741284355374	0.260741284355374
2	0.5	103086.5	-1.0570602872421	-1.0570602872421
3	103086.5	800000.5	0.45620467535787	0.45620467535787
4	0.5	100417.5	-1.07600031100709	-1.07600031100709
5	100417.5	297915.5	0.03513537713591	0.03513537713591
6	297915.5	800000.5	0.617484085732125	0.617484085732125
7	0.5	100417.5	-1.07600031100709	-1.07600031100709
8	100417.5	297915.5	0.03513537713591	0.03513537713591
9	297915.5	702252.5	0.773724821719672	0.773724821719672
10	702252.5	800000.5	-0.026610376910419	-0.026610376910419
11	0.5	100417.5	-1.07600031100709	-1.07600031100709
12	100417.5	297915.5	0.03513537713591	0.03513537713591
13	297915.5	400000.5	1.10433759695485	1.10433759695485
14	400000.5	702252.5	0.662060904256135	0.662060904256135
15	702252.5	800000.5	-0.026610376910419	-0.026610376910419
16	0.5	100417.5	-1.07600031100709	-1.07600031100709
17	100417.5	297915.5	0.03513537713591	0.03513537713591
18	297915.5	400000.5	1.10433759695485	1.10433759695485
19	400000.5	502085.5	0.0829613334388714	0.0829613334388714
20	502085.5	702252.5	0.95740168537294	0.95740168537294
21	702252.5	800000.5	-0.026610376910419	-0.026610376910419
22	0.5	100417.5	-1.07600031100709	-1.07600031100709
23	100417.5	297915.5	0.03513537713591	0.03513537713591
24	297915.5	400000.5	1.10433759695485	1.10433759695485
25	400000.5	502085.5	0.0829613334388714	0.0829613334388714
26	502085.5	702252.5	0.95740168537294	0.95740168537294
27	702252.5	783653.5	0.0856112227846723	0.0856112227846723
28	783653.5	800000.5	-0.574251783422464	-0.574251783422464
29	0.5	100417.5	-1.07600031100709	-1.07600031100709
30	100417.5	297915.5	0.03513537713591	0.03513537713591
31	297915.5	400000.5	1.10433759695485	1.10433759695485
32	400000.5	502085.5	0.0829613334388714	0.0829613334388714
33	502085.5	702252.5	0.95740168537294	0.95740168537294
34	702252.5	781651.5	0.0472445361394938	0.0472445361394938
35	781651.5	783653.5	1.60748979304342	1.60748979304342
36	783653.5	800000.5	-0.574251783422464	-0.574251783422464
37	0.5	100417.5	-1.07600031100709	-1.07600031100709
38	100417.5	297915.5	0.03513537713591	0.03513537713591
39	297915.5	400000.5	1.10433759695485	1.10433759695485
40	400000.5	480067.5	0.184587616983238	0.184587616983238
41	480067.5	483403.5	-1.46699781272221	-1.46699781272221
42	483403.5	502085.5	-0.0758014627939356	-0.0758014627939356
43	502085.5	702252.5	0.95740168537294	0.95740168537294
44	702252.5	783653.5	0.0856112227846723	0.0856112227846723
